Id,Name,Month,Country,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered,Population,Confirmed_per_100K,Deaths_per_100K,Recovered_per_100K,Confirmed_rolling_avg3,Confirmed_trend,Deaths_rolling_avg3,Deaths_trend,Recovered_rolling_avg3,Recovered_trend,Confirmed_lag1,Deaths_lag1,Recovered_lag1,Country_encoded
1,COVID-19,2020-01-01,Afghanistan,0,0,0,0,0,0,39074280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0
2,COVID-19,2020-01-01,Albania,0,0,0,0,0,0,2877239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1
3,COVID-19,2020-01-01,Algeria,0,0,0,0,0,0,43984569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2
4,COVID-19,2020-01-01,Andorra,0,0,0,0,0,0,77287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3
5,COVID-19,2020-01-01,Angola,0,0,0,0,0,0,33032075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4
6,COVID-19,2020-01-01,Antigua and Barbuda,0,0,0,0,0,0,98069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5
7,COVID-19,2020-01-01,Argentina,0,0,0,0,0,0,45267449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6
8,COVID-19,2020-01-01,Armenia,0,0,0,0,0,0,2964219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7
9,COVID-19,2020-01-01,Australia,9,0,2,9,0,2,25550683,0.03522410731642673,0.0,0.007827579403650383,9.0,0.0,0.0,0.0,2.0,0.0,,,,8
10,COVID-19,2020-01-01,Austria,0,0,0,0,0,0,9015361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9
